code,label,营业收入(万元),营业成本(万元),营业利润(万元),利润总额(万元),所得税费用(万元),净利润(万元),基本每股收益,货币资金(万元),应收账款(万元),存货(万元),流动资产合计(万元),固定资产净额(万元),资产总计(万元),流动负债合计(万元),非流动负债合计(万元),负债合计(万元),所有者权益(或股东权益)合计(万元),期初现金及现金等价物余额(万元),经营活动产生的现金流量净额(万元),投资活动产生的现金流量净额(万元),筹资活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),期末现金及现金等价物余额(万元)
300422,1,"28,031","18,672","3,197","3,462",337,"3,125",0.67,"10,240","21,257","5,696","46,590","3,687","59,567","37,356","1,764","39,120","20,447","7,293",59,"-3,886","4,068",241,"7,534"
000756,1,"358,975","285,493","5,456","9,149","2,315","6,833",0.11,"32,877","31,195","58,889","146,241","197,594","424,515","160,109","73,219","233,328","191,187","31,103","34,634","-37,254",-367,"-2,959","28,144"
300002,1,"254,884","135,081","61,832","65,142","4,729","60,412",0.49,"123,464","91,461","21,580","259,980","35,415","553,697","56,943","3,577","60,520","493,177","147,837","34,952","-44,632","-15,371","-25,159","122,678"
300100,1,"149,724","109,314","14,620","15,360","1,888","13,472",0.47,"30,683","54,643","47,480","168,246","79,408","364,212","147,276","25,769","173,044","191,167","27,298","8,829","-57,025","43,536","-4,661","22,636"
002772,1,"47,952","28,206","10,442","11,501",--,"11,501",0.88,"18,878",454,"4,897","53,136","56,326","168,273","27,691","36,790","64,480","103,792","24,037","20,943","-50,479","24,416","-5,335","18,702"
002405,1,"105,901","19,704","6,129","17,339","4,397","12,942",0.17,"173,191","20,056","5,137","214,034","15,647","311,125","47,363",758,"48,121","263,004","93,772","32,478","-7,988","3,072","27,358","121,130"
002386,1,"918,398","859,430","-25,446","14,221","10,330","3,891",0.13,"306,278","16,896","57,937","514,843","681,457","1,509,729","901,624","169,874","1,071,498","438,231","166,257","9,017","8,210","53,776","71,008","237,265"
600625,1,"3,949","3,703",-529,"1,296",330,966,0.04,159,265,--,"4,329",34,"4,365","9,962",795,"10,757","-6,392",366,"-1,602","1,374",1,-208,159
300326,1,"22,236","8,376","7,419","7,767","1,073","6,694",0.39,"32,106","14,220","4,637","54,130","13,547","131,260","13,433","8,323","21,756","109,504","24,793","7,146","-18,252","18,423","7,312","32,106"
300491,1,"14,999","7,407","3,194","4,119",394,"3,725",0.62,"4,890","4,666","2,366","15,835","1,091","25,071","4,228","2,766","6,995","18,076","7,057","2,745","-4,275",-650,"-2,180","4,877"
300282,1,"82,377","67,790","3,289","3,242","1,056","2,185",0.12,"22,269","35,210","15,469","91,110","19,257","207,071","63,483","5,565","69,048","138,023","12,752","1,927","-26,707","26,371","1,564","14,316"
000557,-1,839,321,40,177,71,106,0.00,"21,526",81,"2,234","24,564","1,967","27,595","13,376",113,"13,489","14,106","22,462",-288,-648,0,-936,"21,526"
600121,1,"1,949,455","1,834,810","27,285","29,303","13,045","16,258",0.06,"133,331","103,020","30,409","387,646","534,696","1,136,504","549,244","60,141","609,385","527,119","175,490","-30,835","45,388","-71,802","-57,249","118,242"
002785,1,"63,091","46,494","2,685","2,728",669,"2,059",0.14,"8,084","36,996","16,023","68,901","8,985","93,471","38,619",596,"39,215","54,256","12,710",-343,"-3,486","-2,625","-6,411","6,299"
002611,1,"119,027","86,644","15,225","15,760","4,806","10,954",0.24,"32,933","21,457","29,300","104,981","43,345","196,536","53,933","40,009","93,941","102,595","47,925","4,253","-53,973","24,148","-26,092","21,833"
600720,1,"614,697","433,221","52,449","69,031","13,453","55,578",0.72,"42,488","49,262","75,867","227,277","665,683","1,083,747","332,773","225,274","558,047","525,700","46,529","93,120","-14,687","-85,528","-7,096","39,433"
000606,1,"35,877","36,420","-11,882","-12,981",-299,"-12,682",-0.24,"21,982","6,695","14,152","49,124","50,617","132,576","33,051","13,023","46,074","86,501","25,570",124,"-5,507","1,794","-3,588","21,982"
600462,1,"28,933","25,483","-1,608",220,--,220,0.00,"2,641","1,290","10,550","20,507","20,461","42,987","9,642","1,296","10,937","32,050","5,384","-2,418",-322,-149,"-2,877","2,507"
600141,1,"1,239,234","1,050,171","15,283","18,372","8,136","10,236",0.15,"119,437","55,101","118,255","443,724","1,104,166","2,137,331","991,524","541,510","1,533,034","604,297","81,974","73,899","-136,839","54,692","-8,203","73,771"
002065,1,"517,105","334,633","108,133","112,484","8,622","103,862",0.70,"109,642","295,209","118,971","582,152","53,171","792,396","143,610","19,287","162,897","629,500","128,911","-1,514","-42,760","24,133","-20,139","108,772"
002692,1,"249,381","207,975","12,709","12,845","1,870","10,974",0.30,"33,407","113,096","40,955","200,310","50,296","276,185","136,965",397,"137,361","138,824","56,450","-12,631","-21,939","3,388","-31,182","25,268"
600895,1,"300,221","156,859","56,510","51,200","9,765","41,435",0.28,"154,149","110,092","515,101","811,078","23,253","1,769,779","714,265","307,736","1,022,001","747,778","118,572","146,431","68,064","-179,928","34,665","153,238"
300173,1,"19,480","14,531","-1,316",772,25,747,0.07,"38,274","18,347","29,640","94,372","14,742","196,993","42,321","2,837","45,159","151,834","17,713","-1,542",356,"20,301","19,116","36,829"
300189,1,"35,566","29,625","-11,427","-11,527",69,"-11,595",-0.22,"32,257","7,578","37,014","82,301","29,313","158,383","16,643","7,492","24,136","134,247","38,980","4,524","-11,206","-1,760","-8,441","30,539"
002683,1,"300,538","234,733","13,448","14,701","1,687","13,015",0.18,"30,434","115,085","79,068","300,577","73,377","424,029","173,989","10,998","184,986","239,042","59,978","-22,021","-42,168","33,608","-30,581","29,397"
002571,1,"94,785","70,741",386,700,-259,959,0.02,"45,572","26,863","26,613","110,313","63,081","226,949","62,852","5,891","68,743","158,206","36,906","7,570","-18,857","18,202","6,857","43,763"
002464,1,"52,821","40,831","-12,911","-12,734",211,"-12,945",-0.89,"10,852","11,557","7,644","50,678","21,987","90,485","14,868",55,"14,923","75,562","18,653",-706,"-7,462",562,"-7,802","10,852"
002095,1,"15,969","3,071","3,986","3,997",612,"3,385",0.16,"45,803",567,--,"47,104","7,357","58,926","8,647",369,"9,015","49,911","46,625","2,854",-740,"-2,840",-830,"45,794"
300074,1,"22,088","5,789","1,584","3,755",903,"2,852",0.09,"29,165","12,446","8,137","55,133","13,781","106,332","4,438",466,"4,905","101,427","20,030","2,055","2,937","-2,000","2,992","23,023"
000675,1
300089,1,"44,861","31,994",935,"1,447",607,840,0.06,"33,047","17,720","9,511","64,142","16,703","116,336","37,318",31,"37,349","78,987","41,012","4,401","-20,541","8,131","-7,966","33,047"
