code,label,营业收入(万元),营业成本(万元),营业利润(万元),利润总额(万元),所得税费用(万元),净利润(万元),基本每股收益,货币资金(万元),应收账款(万元),存货(万元),流动资产合计(万元),固定资产净额(万元),资产总计(万元),流动负债合计(万元),非流动负债合计(万元),负债合计(万元),所有者权益(或股东权益)合计(万元),期初现金及现金等价物余额(万元),经营活动产生的现金流量净额(万元),投资活动产生的现金流量净额(万元),筹资活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),期末现金及现金等价物余额(万元)
002145,1,"173,442","130,137","5,891","6,156","2,701","3,455",0.07,"48,948","30,879","39,716","144,171","141,695","388,509","218,948","11,198","230,146","158,364","6,374","-11,022","-22,889","50,237","16,211","22,585"
002098,1,"104,951","73,478","8,177","9,547","1,727","7,820",0.50,"10,858","23,377","23,048","60,173","57,723","137,728","68,462",565,"69,027","68,701","10,533","15,396","-7,670","-7,799",7,"10,540"
002329,1,"113,030","78,196","9,372","10,880","1,892","8,987",0.35,"23,783","27,869","16,391","84,782","50,017","227,838","57,338","2,132","59,470","168,368","14,776","12,060","-31,649","27,100","7,511","22,287"
603108,1,"135,850","99,904","9,590","10,309","2,798","7,511",1.07,"13,697","37,346","24,073","79,901","21,926","108,489","55,564","5,363","60,927","47,563","18,145","3,611","-12,520","3,817","-5,094","13,052"
300014,1,"134,893","97,213","13,463","18,091","1,491","16,601",0.38,"46,949","39,025","23,323","127,980","39,360","248,796","54,827","16,604","71,431","177,365","11,031","5,700","-39,472","67,669","34,602","45,633"
300386,1,"108,043","64,368","24,792","28,591","2,172","26,419",3.11,"96,852","8,339","23,672","153,945","2,051","163,290","19,258","2,545","21,803","141,487","33,391","27,525","-27,154","62,425","62,795","96,186"
002428,1,"55,591","33,344","12,048","14,974","2,445","12,528",0.19,"17,790","12,079","23,984","62,157","76,568","203,833","38,645","2,647","41,292","162,541","38,705","8,043","-31,888","3,023","-20,915","17,790"
600847,1,"23,601","20,175",246,275,50,225,0.01,"34,067","6,868","5,962","55,084","19,799","89,336","13,932","4,102","18,034","71,303","7,211","-4,398","6,309","4,141","6,052","13,263"
000022,1,"180,477","98,389","67,187","67,254","14,275","52,979",0.65,"46,864","20,364","1,909","75,525","331,984","693,582","96,923","109,100","206,022","487,560","71,554","81,832","-6,313","-100,278","-24,690","46,864"
300275,1,"27,481","14,067","1,420","3,020",246,"2,774",0.18,"14,054","34,971","6,219","60,323","11,327","81,072","9,576",575,"10,151","70,921","27,263","-4,957","-7,146","-1,332","-13,435","13,828"
000899,1,"266,904","190,371","49,934","50,434","11,653","38,782",0.60,"23,483","31,932","14,103","83,126","401,937","595,092","225,801","157,936","383,737","211,355","32,851","78,227","-2,611","-84,985","-9,369","23,483"
002323,1,"39,127","32,040",864,"1,501",246,"1,255",0.12,"6,818","39,115","4,848","65,517","24,590","97,585","11,212","1,083","12,295","85,290","13,184",-292,"-4,381","-1,705","-6,378","6,806"
002753,1,"84,836","66,822","6,903","7,069","1,107","5,961",0.81,"4,195","14,370","15,120","45,907","27,948","81,941","19,274","11,564","30,838","51,104","5,966","1,812","-3,014","-4,304","-5,506",459
600609,1,"514,655","430,596","1,420","3,953","5,008","-1,056",-0.13,"525,329","87,770","88,610","756,757","76,946","929,007","824,341","38,582","862,922","66,085","190,389","49,233","-33,257","89,393","105,212","295,601"
002563,1,"814,713","520,914","147,412","150,339","41,535","108,804",1.63,"404,671","107,652","103,429","766,996","150,516","1,037,282","157,534","29,181","186,715","850,566","492,120","76,199","-113,167","-66,486","-103,454","388,666"
601688,1,--,--,"584,952","591,482","137,503","453,979",0.80,"8,986,494","36,265",--,--,"125,836","27,222,604",--,--,"23,028,163","4,194,441","4,340,308","3,040,293","232,476","2,645,963","5,918,719","10,259,028"
002241,1,"1,269,899","921,554","192,411","200,580","32,149","168,431",1.09,"475,625","415,294","161,284","1,077,313","512,058","1,775,774","562,919","360,654","923,574","852,200","185,188","116,487","-168,034","278,693","225,004","410,191"
002366,1,"57,347","47,433","3,604","3,883",358,"3,525",0.26,"33,654","10,066","8,808","73,159","15,642","91,896","18,304",275,"18,580","73,316","26,006","1,980","5,881","-6,226","1,635","27,641"
600231,1,"1,437,296","1,388,343","-94,696","-92,592","-21,333","-71,258",-0.89,"230,244","44,694","192,901","521,843","727,880","1,432,158","973,849","149,724","1,123,574","308,584","203,636","138,817","-12,941","-99,711","26,608","230,244"
002524,1,"62,631","53,533","-7,272","-6,401",426,"-6,826",-0.17,"19,477","26,560","13,366","66,246","82,976","203,707","70,923","29,034","99,958","103,749","46,524","9,528","-25,931","-14,152","-30,556","15,968"
300080,1,"225,903","176,268","1,735","3,337",496,"2,840",0.09,"62,258","69,316","125,586","324,302","138,338","555,459","228,569","3,476","232,046","323,413","12,513","20,512","-4,128","-1,942","14,456","26,969"
000541,1,"306,864","224,705","37,019","31,913","5,246","26,667",0.27,"98,972","32,295","62,579","231,004","46,327","373,670","55,429","8,791","64,220","309,450","89,768","30,564","-5,207","-16,069","9,203","98,970"
002481,1,"106,518","80,015","16,575","17,068","2,189","14,879",0.34,"178,323","9,517","32,730","250,871","76,214","377,925","126,474","12,150","138,625","239,301","13,691","-7,477","-37,122","167,629","123,030","136,721"
002268,1,"123,650","76,708","9,552","14,248","1,740","12,508",0.55,"75,688","59,994","15,612","159,956","27,970","192,990","58,472","6,139","64,611","128,379","60,352","4,182","-7,196","17,173","14,159","74,511"
000568,1,"535,344","280,447","119,235","121,752","24,146","97,607",0.63,"470,961",471,"282,699","991,959","108,649","1,317,082","333,345","4,404","337,749","979,333","534,943","130,711","-14,328","-182,460","-66,174","468,770"
600770,1,"71,458","42,774","18,423","20,500","6,392","14,108",0.03,"127,564","28,633","27,806","230,159","159,443","656,881","106,012","98,697","204,709","452,172","78,732","41,304","-55,573","66,214","48,823","127,555"
002201,1,"74,382","58,967",485,"1,131",58,"1,073",0.05,"20,186","24,875","14,638","70,658","61,025","164,473","71,981","49,557","121,538","42,935","10,201","1,927","-23,777","24,118","2,436","12,637"
002207,1,"41,083","35,211","1,197","1,207",217,990,0.04,"33,275","25,314","1,700","69,853","24,905","102,363","43,493",0,"43,493","58,870","37,455","-10,292","-8,630","11,782","-7,321","30,134"
002442,1,"243,832","212,122",-653,870,-630,"1,500",0.03,"29,049","47,257","45,837","157,424","112,575","316,095","187,957","14,397","202,354","113,741","44,665","29,112","-21,260","-35,063","-27,216","17,449"
000635,1,"193,265","160,584","6,551","7,497","2,267","5,229",0.17,"9,565",187,"16,248","47,241","250,281","309,714","28,970","3,948","32,918","276,797","4,175","48,501","-3,338","-39,773","5,390","9,565"
002680,1,"10,694","7,039","1,542","1,718",299,"1,418",0.18,"23,574","3,925","20,862","63,957","11,529","78,369","6,292","1,008","7,300","71,070","36,869","1,738","-14,017","-1,040","-13,309","23,560"
300433,1,"1,449,701","1,125,652","113,720","136,140","18,511","117,629",1.94,"152,882","269,994","205,363","718,839","944,741","1,823,843","1,004,226","77,800","1,082,026","741,817","136,561","255,795","-529,276","282,976","13,251","149,812"
000878,1,"6,240,446","6,012,963","12,460","21,299","8,379","12,921",0.05,"183,015","61,422","818,835","1,238,630","798,312","2,487,080","1,372,737","433,373","1,806,109","680,970","266,507","446,105","-104,436","-425,434","-83,497","183,010"
600789,1,"231,210","189,896","-13,404","-13,209",460,"-13,669",-0.22,"50,670","40,131","48,371","184,997","167,064","408,492","189,369","68,701","258,070","150,422","53,032","10,856","-9,246","-9,634","-8,027","45,005"
300092,1,"31,127","25,438","-1,699",839,144,695,0.12,"2,213","17,062","13,234","35,238","36,851","76,161","18,057","5,738","23,795","52,367","2,814",954,-303,"-2,260","-1,610","1,205"
002706,1,"85,571","54,857","11,060","11,942","1,915","10,027",1.19,"21,911","9,410","10,803","76,010","9,124","103,876","22,341","2,861","25,202","78,674","4,287","8,360","-21,938","31,186","17,576","21,863"
300162,1,"38,079","24,752","1,642","2,371",541,"1,830",0.06,"19,523","15,036","9,935","65,499","22,414","123,724","13,834","1,106","14,940","108,785","23,652","4,735","-29,282","18,406","-5,918","17,733"
300210,1,"48,311","27,396","9,418","11,198",281,"10,917",0.45,"21,123","32,835","22,424","87,963","15,458","143,432","45,398","11,942","57,340","86,092","23,559","-11,838","-8,374","14,017","-6,195","17,364"
000633,1,"8,750","8,606","-2,930","-2,890",--,"-2,890",-0.08,"2,653","3,593","3,427","11,747","11,665","25,783",941,"5,049","5,990","19,793","9,363","-3,991","-2,487",-229,"-6,710","2,653"
600701,1,"79,776","51,027",-590,-426,"1,242","-1,668",-0.03,"19,652","2,917","2,642","46,567","22,209","299,995","108,406","76,750","185,156","114,839","24,418","24,102","-54,799","25,930","-4,767","19,652"
000667,1,"467,881","333,156","58,823","58,389","15,909","42,481",0.17,"81,199","24,054","1,287,215","1,621,332","36,746","1,745,466","763,695","374,561","1,138,256","607,210","125,403","47,853","3,501","-97,386","-46,031","79,371"
002041,1,"148,008","62,232","54,757","55,000","1,450","53,550",1.08,"52,383","6,249","68,406","329,793","56,317","394,933","94,936","9,665","104,601","290,332","149,227","73,657","-147,174","-23,327","-96,844","52,383"
600733,1,"2,981","1,216",368,"1,425",223,"1,202",0.07,"21,758",--,"20,135","42,624","1,665","48,699","11,596",32,"11,628","37,072","28,723","-7,674","-1,177","1,367","-7,485","21,238"
601021,1,"732,761","624,482","54,047","121,586","33,168","88,418",2.95,"239,994","7,328","4,284","292,186","437,181","1,126,149","421,712","349,108","770,820","355,329","140,986","107,638","-240,416","224,356","91,821","232,807"
300344,1,"12,841","8,098","-2,586","-2,051",-1,"-2,050",-0.08,"1,092","16,433","14,844","39,127","30,632","90,460","18,872",270,"19,141","71,319","14,357",-24,"-8,719","-4,522","-13,265","1,092"
002494,1,"56,691","40,750","1,647","2,309",987,"1,322",0.05,"20,531","11,531","50,462","93,613","40,926","229,984","45,844","42,353","88,197","141,787","37,132","4,860","-33,480","12,233","-16,601","20,531"
600750,1,"283,412","133,769","32,993","33,444","6,767","26,677",0.87,"60,553","11,191","31,283","208,961","72,642","332,701","68,298","51,089","119,387","213,314","71,119","35,680","-25,902","-20,344","-10,566","60,553"
002058,1,"12,337","7,353",229,706,180,526,0.04,"6,700","3,698","4,119","17,499","3,821","23,799","3,357",370,"3,726","20,073","7,615",868,-234,-322,312,"7,927"
600601,1,"686,249","583,938","30,017","36,275","4,553","31,722",0.12,"162,759","133,649","105,498","457,995","297,420","917,610","532,202","31,993","564,195","353,415","172,258","82,587","-212,798","109,173","-20,632","151,626"
600052,1,"175,915","135,464","26,933","27,334","5,740","21,594",0.24,"25,474","3,376","754,545","824,367","26,419","940,528","634,120","105,670","739,791","200,738","19,611","-52,057","61,748","-3,850","5,842","25,453"
000966,1,"659,582","501,917","97,011","95,538","16,616","78,922",1.25,"5,137","56,269","46,982","129,463","733,249","1,039,258","520,576","265,730","786,306","252,952","7,320","208,520","-33,729","-176,973","-2,183","5,137"
300432,1,"85,941","56,076","19,786","20,235","2,864","17,371",0.57,"27,606","18,613","14,314","95,635","28,936","133,403","39,397","3,093","42,489","90,913","6,433","7,470","-23,866","34,093","17,853","24,286"
300098,1,"73,733","53,024","7,226","15,684","2,305","13,379",0.70,"32,577","28,843","10,002","85,282","6,523","166,889","60,273","4,935","65,208","101,681","26,794","-14,047","-2,094","19,986","3,844","30,639"
000610,1,"69,886","64,620","-2,178","-1,962",119,"-2,081",-0.11,"7,786","1,732",277,"17,034","23,558","57,662","13,418",558,"13,976","43,686","16,069",-72,"-4,987","-3,586","-8,645","7,424"
002133,1,"168,349","121,400","19,267","20,742","5,732","15,010",0.21,"115,845","1,110","657,098","809,407","2,112","856,167","306,494","215,611","522,105","334,062","97,966","42,272","-13,242","-11,563","17,466","115,432"
300488,1,"17,323","6,612","7,655","7,933","1,130","6,803",1.36,"7,578","5,275","4,859","19,894","16,707","41,942","8,543",935,"9,477","32,465","1,690","7,200","-3,148","1,866","5,887","7,578"
002373,1,"136,072","96,835","25,450","29,114","2,294","26,819",0.54,"42,739","48,026","56,173","169,010","22,728","219,745","116,228",700,"116,928","102,817","29,591","16,296","-5,452","1,269","12,112","41,704"
002288,1,"104,777","90,094","1,310","3,043",261,"2,783",0.03,"35,164","59,209","43,604","149,321","60,127","260,404","84,301","2,115","86,416","173,988","23,519","2,144","-24,609","16,818","-5,152","18,367"
002770,1,"68,306","44,059","11,661","12,283","2,616","9,668",0.40,"60,313","4,641","4,640","79,279","24,752","201,639","84,189","7,829","92,019","109,620","8,769","17,225","-14,737","49,055","51,543","60,313"
300132,1,"58,896","49,172",-305,267,-823,"1,090",0.03,"5,029","6,748","16,823","52,776","25,073","90,239","21,810","8,397","30,207","60,032","5,412","9,959","7,229","-17,715",-383,"5,029"
300188,1,"60,310","21,872","11,603","13,748","1,407","12,342",0.52,"52,168","17,247","18,502","92,959","24,415","131,445","31,543","2,230","33,774","97,671","21,282","17,366","-13,364",-611,"3,388","24,670"
300407,1,"34,150","17,110","7,542","8,672","1,277","7,395",1.40,"41,370","23,039","14,262","82,976","9,860","108,139","32,510","1,973","34,483","73,656","12,126","4,387","-3,101","24,558","25,844","37,970"
002372,1,"235,368","138,730","44,004","45,502","6,727","38,775",0.89,"54,868","15,010","38,362","148,578","67,003","255,934","42,302","1,934","44,237","211,697","64,685","51,326","-39,673","-22,239","-10,586","54,099"
002715,1,"29,607","21,256","1,809","2,220",357,"1,862",0.21,"7,741","12,349","14,784","38,553","24,527","70,530","19,881",600,"20,481","50,049","7,553",482,"-3,037","2,729",189,"7,741"
000792,1,"1,047,436","507,719","113,601","172,016","38,878","133,138",0.82,"328,211","23,464","264,989","1,133,911","1,872,986","6,789,931","1,690,128","3,171,818","4,861,945","1,927,985","233,143","135,565","-734,322","660,284","61,528","294,671"
300336,1,"102,609","55,089","31,544","33,039","8,212","24,827",0.47,"26,035","104,232","61,156","221,207","13,527","372,257","101,613","3,865","105,478","266,778","21,395","-5,216","-59,997","68,948","4,641","26,035"
300477,1,"91,146","63,115","8,921","9,014","1,513","7,501",0.92,"28,015","37,183","17,998","86,732","6,825","99,396","56,836",500,"57,337","42,059","20,675","1,897","-2,903","-1,136","-2,141","18,534"
002745,1,"388,161","306,681","27,059","30,114","4,351","25,763",0.58,"267,244","35,732","65,428","442,606","277,504","767,807","491,776","21,713","513,489","254,318","34,037","44,059","-107,684","144,591","81,416","115,453"
300049,1,"64,552","23,208","12,598","12,183","3,702","8,481",0.70,"34,408","18,662","8,811","68,580","8,755","133,119","24,414","17,196","41,610","91,510","32,575","5,088","-9,880","7,349","1,833","34,408"
300116,1,"58,134","41,099","4,493","4,690",986,"3,704",0.07,"20,939","34,205","24,297","92,004","13,648","145,414","48,916",350,"49,267","96,147","29,452",-400,"-11,317","1,010","-10,705","18,747"
600881,1,"1,445,536","1,108,428","1,565","36,599","20,033","16,566",0.10,"641,304","265,434","930,649","2,961,069","1,311,936","5,341,205","2,965,402","1,166,710","4,132,112","1,209,094","317,872","-598,036","-6,130","419,399","-184,723","133,148"
000893,1,"1,280,397","1,299,174","-46,827","-46,172",399,"-46,571",-1.16,"460,041","2,131","119,799","675,124","118,552","805,729","725,461","26,088","751,549","54,181","53,877","22,991","-17,650","12,781","17,924","71,801"
300430,1,"34,450","22,458","5,629","6,231",872,"5,359",0.59,"18,218","15,155","25,851","69,044","15,568","90,776","28,233","1,368","29,601","61,175","9,178","-3,359","-8,438","19,614","7,818","16,996"
300217,1,"101,901","75,861","12,468","12,556","1,990","10,567",0.26,"15,670","30,375","28,206","115,899","29,108","167,048","43,758","2,314","46,072","120,976","25,266","6,872","-15,592","-4,161","-12,887","12,379"
300342,1,"40,917","26,562","10,487","10,749","1,648","9,101",0.46,"35,948","12,603","5,511","68,052","13,298","90,561","10,491",943,"11,434","79,127","36,516","10,319","-5,840","-5,031",-569,"35,948"
300277,1,"39,975","31,393","-4,714","-5,358",-316,"-5,042",-0.38,"20,495","13,808","11,627","54,040","10,994","69,633","23,529",254,"23,783","45,850","23,043","7,688","-3,707","-7,090","-3,108","19,935"
601168,1,"2,424,709","2,276,156","44,483","47,892","13,848","34,044",0.12,"397,267","61,352","151,460","892,058","334,844","2,582,875","730,611","647,865","1,378,476","1,204,400","497,152","162,745","-81,354","-261,041","-179,581","317,570"
002112,1,"92,383","70,498","1,386","1,627",23,"1,604",0.08,"18,807","50,345","23,531","100,321","22,856","130,088","81,269",720,"81,989","48,099","3,060","9,488","-2,366","-5,446","1,656","4,716"
603008,1,"129,055","80,620","10,742","10,961","1,644","9,318",0.30,"30,021","31,228","20,702","90,512","71,607","198,773","83,746",100,"83,846","114,927","11,475","4,037","-27,146","26,787","3,678","15,154"
002028,1,"367,130","230,357","51,315","56,240","5,851","50,389",0.74,"67,746","188,703","73,045","443,170","59,053","543,456","162,829","3,873","166,703","376,753","104,308","-1,615","-23,664","-11,305","-36,563","67,746"
002131,1,"287,427","221,168","19,005","25,230","3,918","21,313",0.48,"17,947","146,108","44,876","232,190","45,882","420,141","181,536","30,196","211,732","208,409","44,258","-10,998","-26,190","4,823","-31,329","12,929"
002676,1,"120,151","96,430",-198,286,116,170,0.01,"20,196","28,955","27,030","93,998","43,869","161,957","47,137","7,298","54,434","107,523","17,732","2,716","-10,692","8,801",977,"18,709"
600249,1,"118,699","104,817",-368,-24,"3,214","-3,238",0.05,"63,120","14,663","36,742","133,172","113,053","410,897","143,511","38,718","182,230","228,667","38,421","-16,644","13,314","26,951","23,622","62,043"
300221,1,"110,696","95,633",575,"2,798",466,"2,333",0.12,"8,234","37,709","20,119","80,166","26,551","122,652","48,136","3,499","51,635","71,017","12,806",126,"-14,458","8,130","-6,273","6,533"
300151,1,"57,866","44,514","5,832","5,968",882,"5,087",0.26,"45,788","11,373","5,773","65,565","22,890","95,309","13,548","4,000","17,548","77,761","45,379","6,923","-13,040","5,110","-1,097","44,282"
000088,1,"30,085","13,292","46,364","52,988","5,642","47,346",0.23,"130,041","2,639",--,"138,265","16,531","682,595","11,142","117,334","128,477","554,119","21,031","11,794","-42,797","69,621","38,618","59,648"
600603,-1,"3,768","2,915","-23,323","-23,199",45,"-23,244",-1.00,"3,145",66,"4,097","11,236","8,126","25,837","33,638","6,366","40,004","-14,166","2,149","-1,157","-4,606","6,499",735,"2,884"
600835,1,"2,077,893","1,624,213","194,181","212,671","32,692","179,979",0.84,"1,211,801","222,973","766,113","2,465,113","164,190","2,976,909","1,897,097","218,622","2,115,719","861,190","1,063,411","201,196","1,024","-107,385","93,265","1,156,676"
000679,1,"279,384","215,229","-34,649","-16,394","5,979","-22,373",-0.52,"93,098","1,891","506,926","636,756","115,489","842,799","501,835","157,428","659,263","183,536","177,418","6,560","-26,576","-91,658","-111,656","65,762"
300102,1,"42,637","26,163","5,241","6,667","1,077","5,590",0.19,"38,191","29,108","14,668","104,136","66,258","213,228","28,087","6,659","34,747","178,482","50,157","11,647","-26,016","-5,911","-20,332","29,825"
002406,1,"118,684","84,191","14,760","15,075","2,151","12,924",0.46,"30,992","36,952","29,962","154,131","42,093","242,105","25,658","1,732","27,391","214,714","18,033","23,243","-1,869","-10,234","11,141","29,173"
600971,1,"644,466","547,092","-1,947","3,455",454,"3,000",0.02,"98,590","42,121","25,851","407,783","521,572","1,381,375","379,487","302,442","681,929","699,446","95,199","21,203","-93,736","62,957","-9,576","85,623"
300438,1,"70,054","53,497","6,156","6,853",880,"5,973",0.96,"7,043","25,694","17,153","53,292","18,410","80,808","32,864","1,483","34,347","46,461","5,761","4,141","-4,859",240,-425,"5,336"
600252,1,"321,441","70,764","186,001","198,131","38,683","159,448",1.45,"302,100","32,773","78,670","466,970","79,585","802,622","164,309","46,531","210,840","591,783","88,124","56,995","94,784","62,198","213,976","302,100"
600980,1,"22,806","19,216","-4,991","-2,799",35,"-2,834",-0.22,"5,562","3,919","3,685","15,741","7,250","31,004","6,570","1,923","8,493","22,511","3,905","4,397","-5,241","2,472","1,628","5,533"
300311,1,"29,678","12,407","3,100","4,278",534,"3,744",0.37,"26,279","6,541","3,744","40,415","15,351","62,811","10,840","6,876","17,717","45,094","32,803","3,130","-12,207","2,273","-6,803","26,000"
000507,1,"213,904","182,028","3,163","3,734","2,041","1,693",0.02,"43,494","24,764","8,831","111,507","176,722","536,026","151,306","120,309","271,615","264,411","40,940","20,468","-61,168","36,627","-4,074","36,866"
002285,1,"471,055","317,783","74,755","75,455","21,054","54,401",0.38,"292,614","88,119",--,"621,543","18,199","739,802","370,904","4,484","375,388","364,414","78,595","45,060","-20,524","183,653","208,195","286,789"
300367,1,"101,678","44,440","24,841","30,270","3,260","27,009",0.84,"81,127","70,733","22,964","202,818","13,394","366,815","109,780","43,825","153,605","213,210","46,824","14,149","-59,103","77,472","32,492","79,316"
600369,1,--,--,"426,610","434,274","79,768","354,506",0.63,"2,220,506","97,064",--,--,"31,598","7,174,944",--,--,"5,215,930","1,959,014","1,364,733","245,746","-239,524","1,266,765","1,273,147","2,637,880"
300040,1,"18,951","16,461","-8,115","-6,561",-988,"-5,572",-0.20,"29,269","29,319","11,762","82,716","34,640","139,632","12,793","8,472","21,265","118,367","3,263","9,256","-8,283","-1,389",-416,"2,848"
600236,1,"570,338","338,474","109,381","114,447","19,380","95,067",0.26,"171,213","67,397","18,021","270,703","1,703,991","2,214,229","330,722","1,301,826","1,632,547","581,682","104,080","321,806","-56,875","-197,797","67,134","171,213"
002662,1,"361,588","251,150","58,596","59,017","12,699","46,318",0.60,"87,526","75,228","95,569","314,169","154,312","687,156","83,264","161,757","245,022","442,135","89,536","55,062","-172,187","109,902","-7,149","82,386"
002618,1,"50,209","29,821","9,843","10,987","1,893","9,093",0.50,"25,924","21,171","2,823","89,481","77,117","224,201","27,208","37,698","64,905","159,296","53,818","3,934","-36,529","4,255","-28,529","25,289"
000027,1,"1,250,604","925,615","225,210","291,737","58,126","233,610",0.77,"494,700","251,557","125,353","1,241,313","1,457,372","3,844,139","1,429,477","379,203","1,808,680","2,035,459","401,324","319,014","-236,156","100,243","181,422","582,745"
601558,1,"361,988","315,349","-97,953",90,"-7,983","8,073",0.01,"97,402","663,379","566,039","1,462,948","131,282","1,744,006","792,665","72,586","865,251","878,756","206,521","-60,137","8,239","-126,283","-172,963","33,559"
002338,1,"38,870","21,921","6,065","8,015","1,169","6,846",0.49,"15,771","20,391","19,869","68,565","21,728","96,405","8,903","5,058","13,961","82,444","20,194",780,"-2,468","-2,735","-4,423","15,771"
002345,1,"247,038","163,928","27,159","27,495","5,022","22,474",0.26,"51,534","14,584","160,302","275,826","27,049","436,591","144,484","49,044","193,528","243,063","17,963","26,232","-90,273","55,993","-8,045","9,918"
002575,1,"31,938","24,945","1,720","2,035",216,"1,819",0.03,"13,432","10,411","6,780","31,000","40,560","96,182","6,109",596,"6,705","89,477","8,883","10,064","-1,243","-4,286","4,549","13,432"
300323,1,"70,608","49,984","1,160","10,707","1,616","9,091",0.20,"16,204","41,220","38,449","139,734","203,409","377,856","109,146","91,895","201,041","176,815","17,954","-12,993","-62,168","73,322","-1,750","16,204"
300199,1,"41,943","7,197","18,331","18,634","1,478","17,156",0.43,"70,006","18,578","4,856","99,066","34,978","169,746","11,814","28,317","40,132","129,615","44,792","15,343","-8,516","18,410","25,214","70,006"
002284,1,"327,888","273,136","18,693","21,000","2,886","18,114",0.60,"36,401","65,798","51,427","285,722","87,062","419,755","163,184","4,888","168,072","251,683","14,459","23,004","-130,254","108,178",920,"15,380"
600101,1,"124,490","100,194","9,515","10,261","2,118","8,143",0.30,"24,891",784,"11,432","41,255","168,309","269,212","55,009","30,382","85,391","183,821","28,525","18,214","-19,419","-2,469","-3,674","24,851"
002337,1,"72,133","56,872","4,686","6,309",880,"5,428",0.26,"47,404","22,585","25,566","139,503","25,224","176,233","41,150","1,123","42,273","133,961","39,928","-5,574","18,350","-5,018","7,476","47,404"
600328,1,"271,688","199,968","-11,131","-10,414","-1,081","-9,334",0.04,"27,372","21,375","41,990","155,237","395,279","682,271","366,493","176,308","542,801","139,469","12,359","26,782","-4,415","-25,255","-2,847","9,512"
000534,1,"52,664","25,060","8,772","7,826","3,698","4,128",0.10,"12,511",611,"250,932","312,147","30,090","348,935","145,057","40,854","185,912","163,023","31,827","33,649","-12,589","-44,376","-23,316","8,511"
002343,1,"161,321","130,383","8,069","8,269","1,390","6,879",0.27,"17,458","21,061","21,827","106,817","57,393","174,700","35,189",454,"35,643","139,057","22,784","14,949","-13,009","-9,454","-7,420","15,364"
002456,1,"1,948,229","1,714,504","63,684","78,111","9,956","68,155",0.71,"237,517","337,402","292,767","959,304","352,161","1,415,573","644,844","188,763","833,607","581,967","124,572","-22,089","-139,566","263,169","100,793","225,365"
002311,1,"2,109,041","1,901,883","70,140","70,863","15,805","55,058",0.50,"94,893","49,619","196,025","391,803","256,394","766,578","234,520","91,901","326,421","440,157","119,439","107,140","-55,442","-85,109","-33,320","86,119"
300055,1,"102,915","72,117","22,531","22,613","3,383","19,230",0.82,"95,024","62,754","73,014","242,911","68,259","367,215","90,151","13,251","103,403","263,812","115,584","-4,314","-23,292","4,964","-22,642","92,942"
300293,1,"60,936","41,096","7,162","9,042","1,652","7,390",0.27,"41,948","26,930","9,382","112,301","8,971","216,139","138,614","1,863","140,478","75,661","21,650","9,836","-5,125","-16,979","-12,268","9,382"
300318,1,"10,097","2,163","3,934","4,309",654,"3,654",0.23,"42,947","2,566","1,495","48,573","20,605","79,934","6,638",639,"7,277","72,657","45,997","3,105","-15,052","-1,150","-13,097","32,899"
002271,1,"500,592","322,192","62,385","65,147","6,889","58,257",1.59,"96,922","154,241","62,619","357,122","90,269","514,122","157,228","10,678","167,905","346,217","27,977","35,106","-49,542","66,727","52,296","80,274"
002488,1,"131,315","98,599","6,324","7,226","1,006","6,220",0.35,"106,749","18,506","58,659","198,893","90,759","352,672","161,344","29,737","191,082","161,591","22,021","32,980","-88,067","63,653","8,588","30,609"
000698,1,"1,053,439","1,013,987","-23,435","3,691","2,042","1,649",0.03,"46,693","2,599","52,535","169,208","404,263","754,079","358,312","85,391","443,703","310,376","60,284","7,743","-67,688","32,850","-27,090","33,195"
600005,1,"9,937,309","9,193,350","116,241","154,680","25,420","129,260",0.13,"303,177","927,232","1,149,636","3,570,266","4,746,569","9,606,351","5,609,179","339,260","5,948,439","3,657,912","351,888","770,404","-305,827","-512,211","-48,711","303,177"
603003,1,"527,881","518,429",803,"1,032",-8,"1,040",0.04,"28,007","21,648","18,048","151,444","16,144","170,634","89,754",0,"89,754","80,881","16,555","23,428","4,560","-18,083","9,920","26,475"
300278,1,"174,971","143,598","11,288","11,829","1,755","10,074",0.18,"33,098","80,121","58,414","196,325","25,294","324,943","171,204","6,021","177,225","147,719","11,332","-2,997","-44,097","62,285","15,012","26,344"
002398,1,"178,920","120,342","27,144","28,025","5,129","22,896",0.84,"24,321","103,969","5,777","165,919","44,851","243,279","49,915","6,599","56,514","186,765","29,718","8,596","-13,392","-2,991","-7,787","21,931"
002479,1,"373,007","331,904","24,579","26,789","4,916","21,872",0.24,"50,588","35,363","12,060","121,694","146,952","381,777","90,364","44,180","134,544","247,233","36,831","40,187","-27,292","-5,213","7,682","44,513"
601238,1,"2,237,593","1,895,899","269,588","305,359","12,609","292,750",0.50,"1,836,490","105,929","266,057","2,697,420","791,246","6,231,836","2,024,543","595,770","2,620,313","3,611,523","1,874,840","110,478","-47,445","-166,617","-105,768","1,769,072"
000591,1,"474,878","402,203",439,611,"1,037",-426,0.01,"77,994","59,883","64,165","234,341","45,575","332,436","274,000","10,661","284,661","47,775","26,341","1,223","-5,089",168,"-3,698","22,643"
002046,1,"51,263","37,749",592,"2,225",689,"1,535",0.06,"23,252","19,742","48,821","104,987","56,034","229,020","63,964","27,254","91,218","137,803","18,712","-2,582","-15,809","18,683",292,"19,004"
