code,label,基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%)
600838,1,0.11,--,--,"10,978","4,443","2,762","7,142","1,635","4,398","4,398","2,762",-302,"-3,608","99,801","14,282","24,373","24,313","75,428",5.95,4.41,40.48,4.23,29.02,25.16,57.00,40.06,5.83,19.07,10.14,7.66,43.00,78.52,199.60,101.04,0.59,0.48,36.36,451.05,24.42,--,75.58,--,565.43,32.31,--,--,80.42,113.38,32.23,--,13.37,-21.94,-7.29,4.64,-7.89,3.36,107.06,2.22,0.78,0.11,162.46,"3,412.32",0.65,554.27,-0.03,-0.00,-0.07,-0.01,-1.24
600711,1,0.11,--,--,"334,796","36,506","15,583","1,218",392,"15,975","15,019","13,050","-46,643","34,485","594,357","176,255","226,610","78,837","360,661",4.98,2.53,10.90,3.05,5.00,4.65,88.68,4.49,4.16,21.05,8.57,5.30,11.32,6.39,10.08,228.53,2.24,2.13,76.86,394.74,38.13,0.04,61.87,0.59,579.68,61.62,112.61,0.95,79.37,113.69,22.40,383.23,10.67,64.31,43.45,47.47,51.67,13.70,26.27,49.43,6.04,0.68,7.28,530.27,2.80,128.50,-0.14,-0.08,-3.10,-0.21,-59.16
603918,1,0.58,4.02,1.03,"58,794","15,209","4,273",--,205,"4,478","3,811","3,636","6,816","1,592","59,410","52,314","32,860","32,860","26,549",15.31,6.41,25.87,6.62,8.27,7.27,72.67,6.48,14.35,--,22.63,10.11,27.33,17.98,4.59,339.64,1.59,1.39,57.26,775.48,55.31,--,44.69,--,460.19,123.77,--,--,72.42,26.73,123.77,--,9.71,1.29,2.43,11.90,6.48,2.69,133.80,5.18,9.92,1.02,69.56,352.70,1.17,308.85,0.12,0.11,1.79,0.21,20.74
002343,1,0.27,--,--,"161,321","30,146","8,069","1,763",200,"8,269","5,428","5,160","14,949","-7,420","174,700","106,817","35,643","35,189","119,523",4.57,3.94,18.69,3.87,5.40,5.00,80.82,4.26,4.54,316.51,45.09,35.89,19.18,13.66,23.74,364.56,3.04,2.42,49.61,"-8,682.31",20.40,--,79.60,--,242.29,25.63,--,--,50.69,48.82,25.31,--,32.85,10.58,-2.59,0.12,-3.50,7.62,47.23,5.61,2.87,0.91,64.17,396.91,1.46,246.00,0.09,0.09,2.17,0.42,42.48
300063,1,0.01,3.23,-0.40,"90,529","14,168",789,--,196,984,155,47,"-7,976","-7,566","120,001","65,734","47,213","45,902","64,880",0.24,0.30,15.65,0.33,1.10,0.87,83.88,0.39,0.24,41.33,11.41,6.92,16.12,14.27,19.88,"1,439.25",1.43,0.99,14.00,170.80,39.34,--,60.66,--,218.70,64.86,--,--,80.72,74.55,63.06,--,27.74,37.95,-77.32,2.96,25.44,3.77,95.49,4.02,3.11,0.84,89.52,428.83,1.46,246.34,-0.09,-0.07,-22.40,-0.17,-17.38
600279,1,0.22,--,--,"189,530","39,716","13,898",83,"4,591","18,489","9,558","6,791","25,451","43,773","717,886","155,445","290,380","186,821","328,078",3.21,2.16,20.95,2.56,10.53,7.33,78.82,8.16,2.91,228.80,24.72,14.72,21.18,13.62,25.28,214.80,0.83,0.76,46.01,281.86,40.45,-2.14,59.55,9.36,120.45,67.92,113.70,13.58,79.73,131.56,59.41,256.54,49.44,49.26,23.28,62.22,46.85,11.92,30.21,13.69,0.56,0.31,26.30,"1,146.13",1.53,234.97,0.13,0.04,1.65,0.09,13.62
000557,-1,0.00,--,--,839,451,40,--,136,177,117,-19,-288,-936,"27,595","24,564","13,489","13,376","14,056",0.21,0.38,53.82,0.37,30.93,4.79,38.33,12.62,0.83,0.46,2.22,1.13,61.67,21.89,77.25,255.62,1.84,1.67,160.93,69.75,48.88,--,51.12,--,699.86,95.62,--,--,90.69,21.49,94.82,--,7.30,-21.58,-70.04,0.76,-5.80,19.24,18.71,0.14,0.75,0.03,"2,521.01","12,203.39",0.03,"11,250.00",-0.34,-0.01,-2.72,-0.02,-2.15
000563,1,0.37,--,--,"115,097","60,770","60,770","52,500",47,"60,817","45,395","11,568","35,631","171,635","874,386","315,678","108,972","98,757","765,414",10.35,5.19,--,6.98,161.83,--,--,--,5.93,30.94,6.25,5.47,52.80,--,86.40,-11.41,3.20,3.20,220.11,--,12.46,--,87.54,--,"9,304.89",14.24,--,--,77.27,72.99,12.90,--,0.94,--,29.47,100.69,105.39,--,--,--,--,--,--,--,--,--,--,0.04,0.78,0.33,36.08
603369,1,1.36,--,--,"239,974","145,356","84,831",73,511,"85,342","64,562","64,058","47,326","14,286","450,074","353,312","94,286","94,286","354,434",22.54,14.27,60.57,16.32,55.00,35.35,29.41,26.76,18.22,165.69,23.37,18.47,70.59,25.23,0.68,170.32,3.75,2.42,145.25,"-3,013.18",20.95,--,79.05,--,600.59,26.50,--,--,75.78,27.20,26.50,--,13.16,-4.60,-5.59,54.84,33.70,71.97,5.00,0.59,4.03,0.61,612.45,590.07,0.81,446.59,0.20,0.11,0.74,0.50,50.19
600569,1,0.01,--,--,"2,685,176","203,313","2,743",-23,"1,209","3,952","2,853",544,"491,148","-5,613","3,214,657","1,282,583","2,451,516","2,098,787","722,136",0.40,0.10,7.57,0.10,0.15,0.10,92.07,0.12,0.40,481.82,151.13,35.88,7.93,7.52,30.02,"5,144.61",0.61,0.31,23.05,103.86,76.26,-0.02,23.74,0.56,56.09,321.24,247.34,2.30,54.19,253.17,277.38,142.90,42.32,2.73,-16.46,3.30,1.02,103.99,3.46,3.61,1.90,0.84,99.83,428.83,2.15,167.35,0.18,0.15,146.95,0.20,23.40
002246,1,0.18,--,--,"203,603","28,912","5,090",-61,"3,929","9,020","7,289","4,034","15,706","-1,139","165,375","87,057","49,110","42,614","110,967",6.80,4.87,14.20,4.83,4.56,2.50,85.45,3.96,6.57,96.22,34.24,24.07,14.55,11.45,42.89,320.54,2.04,1.28,29.56,"5,218.15",29.70,--,70.30,--,219.54,42.24,--,--,62.52,67.36,36.65,--,32.02,1.16,25.78,7.30,-1.49,7.38,48.81,5.50,4.02,1.22,65.45,294.62,2.25,160.04,0.08,0.10,1.95,0.32,36.86
300388,1,0.69,8.63,0.38,"102,267","25,906","6,880",185,171,"7,051","5,200","5,006","3,314","13,899","258,418","66,583","179,524","109,288","76,167",8.64,2.05,25.33,2.24,7.43,6.73,73.57,5.18,6.83,109.15,12.21,3.73,26.43,18.16,5.05,367.39,0.61,0.58,23.11,174.89,69.47,-1.35,30.53,22.32,598.69,227.55,140.47,42.23,75.28,243.16,211.63,146.38,5.10,60.24,-10.28,55.93,20.30,3.97,90.72,33.69,7.80,0.43,10.68,832.95,1.88,191.86,0.03,0.01,0.63,0.02,3.03
600052,1,0.24,--,--,"175,915","33,102","26,933","53,957",401,"27,334","21,202","-33,074","-52,057","5,842","940,528","824,367","739,791","634,120","200,351",11.08,2.30,18.82,2.21,14.29,15.31,77.01,12.28,10.58,33.87,14.71,3.14,22.99,27.56,198.86,121.10,1.30,0.11,4.02,199.01,78.66,0.53,21.34,10.77,672.50,368.54,38.46,33.55,79.01,57.87,366.37,127.74,3.17,-8.42,329.47,9.45,-7.45,79.70,4.52,0.17,4.30,0.18,"2,116.40","2,002.22",0.20,"1,782.18",-0.30,-0.06,-2.41,-0.07,-8.21
600354,1,-0.72,--,--,"125,586","43,316","-24,372",-670,"1,822","-22,550","-32,406","-34,359","47,217","5,937","368,623","261,080","241,505","240,368","67,476",-39.00,-6.94,34.49,-6.56,-17.76,-19.41,65.29,-20.36,-48.03,44.85,15.80,5.45,34.71,35.59,-5.11,-192.09,1.09,0.75,55.87,-209.05,65.52,0.00,34.48,0.01,159.78,189.98,84.58,0.02,63.54,84.60,189.11,144.30,21.58,-33.01,-323.32,-22.46,-10.19,3.38,106.40,0.93,1.54,0.32,386.27,"1,116.63",0.45,793.48,0.38,0.13,--,0.20,19.64
002707,1,1.89,--,--,"421,700","34,827","14,432",--,395,"14,827","10,874","10,577","6,946","14,224","107,209","97,655","49,018","49,018","57,601",22.93,10.14,8.26,12.44,3.64,3.42,91.23,2.58,18.88,193.43,19.67,10.68,8.77,4.76,2.66,234.89,1.99,1.99,84.55,-505.34,45.72,--,54.28,--,"9,451.40",84.24,--,--,51.70,16.42,84.24,--,0.57,40.32,24.32,100.07,58.49,32.04,11.24,"8,885.69",689.51,4.82,0.04,74.63,5.17,69.63,0.02,0.06,0.64,0.14,14.17
000565,1,0.26,--,--,"55,283","12,299","4,436","2,993",589,"5,025","4,459","3,195","3,010","-1,118","95,322","48,074","31,563","27,227","63,560",7.24,4.68,22.25,4.64,9.46,8.02,77.24,8.07,7.01,70.09,19.07,12.75,22.76,18.36,71.29,244.76,1.77,1.36,34.10,508.73,33.11,0.09,66.89,1.94,268.16,49.50,72.01,2.82,75.54,74.10,45.60,319.79,24.94,0.41,21.60,6.70,-1.68,5.58,64.54,3.61,2.37,0.58,99.83,625.98,1.12,320.40,0.05,0.03,0.68,0.10,11.05
002687,1,0.35,--,--,"65,847","30,541","8,902",--,205,"9,107","8,168","7,961","10,372",-960,"138,038","62,792","36,249","35,017","99,774",8.39,5.84,46.38,6.30,16.39,13.52,52.63,12.25,8.19,85.43,19.86,14.64,--,30.79,2.25,335.36,1.79,1.38,88.41,"-2,399.79",26.26,--,73.74,--,224.00,35.61,--,--,78.91,73.92,34.40,--,32.92,13.11,23.18,5.44,17.12,5.04,71.45,2.39,1.77,0.51,150.91,699.57,1.06,340.10,0.16,0.08,1.29,0.29,29.62
002472,1,0.44,--,--,"126,639","32,643","13,366","1,168",672,"14,038","12,230","11,404","12,639","-3,038","239,874","112,956","84,556","72,652","155,318",8.16,5.10,25.78,5.34,12.34,10.55,73.85,9.66,7.87,207.14,38.37,24.84,26.15,15.61,13.11,232.53,1.55,0.69,6.34,569.37,35.25,0.13,64.75,2.22,157.27,54.44,79.00,3.32,67.59,81.71,50.21,300.06,41.17,27.80,81.73,7.25,10.14,4.85,74.26,1.60,1.32,0.55,225.65,650.52,1.21,297.45,0.10,0.05,1.03,0.15,17.40
600121,1,0.06,--,--,"1,949,455","101,528","27,285","34,148","2,018","29,303","6,229","-19,958","-30,835","-57,249","1,136,504","387,646","609,385","549,244","421,761",1.54,1.43,5.21,1.45,1.50,1.40,94.12,0.83,1.48,447.81,86.26,40.01,5.88,5.34,123.42,346.48,0.71,0.65,24.28,209.48,53.62,-0.24,46.38,3.45,96.65,115.61,132.23,6.93,55.44,142.07,111.64,180.39,47.99,-5.14,-23.05,10.55,3.23,29.77,12.09,64.47,3.53,1.74,5.58,206.60,5.21,69.05,-0.02,-0.03,-1.90,-0.05,-5.61
600259,1,0.07,--,--,"262,113","30,788",-731,292,"5,353","4,622","1,870","-2,363","-45,293","-25,603","372,720","253,203","267,080","206,079","82,290",2.57,0.49,11.75,0.57,1.79,-0.28,87.69,0.70,2.27,68.52,17.00,4.82,12.31,10.39,122.13,666.05,1.23,0.49,10.67,154.54,71.66,0.45,28.34,5.63,189.20,252.82,94.38,16.58,77.59,113.14,214.96,154.17,14.98,63.78,--,45.67,34.07,11.12,32.39,1.73,6.73,0.81,208.42,446.87,1.21,298.43,-0.17,-0.12,-24.64,-0.17,-21.98
300234,1,0.40,2.00,0.23,"50,554","22,525","11,888",--,261,"12,149","10,502","10,248","6,002","-2,342","76,149","57,225","22,982","22,002","52,859",21.94,13.70,44.56,14.99,32.39,23.51,54.60,20.64,19.87,59.06,29.33,20.48,45.40,18.74,2.15,185.40,2.60,1.83,32.37,"14,771.45",30.18,--,69.82,--,525.94,43.23,--,--,66.22,35.59,41.38,--,13.28,65.50,109.59,22.97,20.78,2.36,152.74,1.60,5.22,0.73,225.39,495.59,0.97,371.25,0.12,0.08,0.58,0.26,27.28
300486,1,0.52,3.64,0.07,"39,611","11,667","6,111",--,134,"6,246","5,411","5,408",689,"-1,623","67,516","52,020","29,643","28,617","37,873",15.32,8.01,29.45,8.42,18.96,15.43,69.37,13.66,14.29,83.63,23.00,12.90,30.63,12.61,2.15,186.81,1.82,1.34,29.65,"67,598.14",43.91,--,56.09,--,408.53,78.27,--,--,73.76,40.92,75.56,--,13.73,2.48,1.77,13.39,10.58,1.91,188.81,2.21,4.33,0.62,163.12,584.23,0.80,448.21,0.02,0.01,0.13,0.02,2.41
300080,1,0.09,6.40,0.41,"225,903","48,922","1,735",310,"1,602","3,337","4,585","3,322","20,512","14,456","555,459","324,302","232,046","228,569","321,810",1.43,0.51,21.66,0.54,1.51,0.77,78.03,1.26,1.42,84.49,13.14,7.65,21.97,19.22,57.31,"1,466.09",1.42,0.87,27.24,132.43,41.78,0.02,58.22,0.41,232.51,71.75,70.97,0.71,77.82,71.47,71.39,229.36,25.04,45.96,-57.70,0.26,9.89,2.95,121.84,1.51,1.67,0.43,237.81,845.27,0.75,478.66,0.09,0.04,7.22,0.09,8.97
600708,1,0.32,3.12,0.50,"452,640","67,541","18,859","2,940","9,434","28,293","16,442","11,472","25,509","5,699","555,615","189,214","361,363","359,772","159,450",10.76,3.78,14.92,4.42,6.46,4.17,84.93,4.64,10.31,207.45,54.51,19.06,15.07,11.62,43.73,238.72,0.53,0.39,13.89,396.38,65.04,-0.01,34.96,0.18,146.26,186.03,187.66,0.51,61.01,188.62,185.72,111.27,23.90,78.59,9.27,11.31,40.97,18.52,19.44,12.86,3.64,0.95,27.99,377.68,3.46,104.16,0.06,0.05,1.21,0.07,7.09
300314,1,0.16,--,--,"21,943","11,371","5,283",3,108,"5,391","4,493","4,386","4,841","-30,904","75,277","46,978","5,487","5,480","69,790",6.59,5.97,51.82,6.11,32.45,24.08,47.18,20.48,6.44,35.39,14.60,13.54,--,27.54,2.05,210.90,8.57,7.52,301.37,-564.08,7.29,--,92.71,--,880.50,7.86,--,--,58.17,40.55,7.85,--,10.53,-3.41,-16.18,4.33,4.73,23.65,15.22,1.95,2.67,0.30,184.19,"1,207.24",0.44,826.07,0.22,0.06,1.08,0.88,88.34
300019,1,0.49,3.61,0.28,"54,950","17,425","8,375",--,867,"9,242","8,007","7,285","4,526","-2,116","81,440","40,399","20,898","12,627","58,852",14.25,9.77,31.71,10.72,19.97,15.24,67.38,14.48,13.60,80.06,21.58,16.04,32.62,15.94,9.38,188.53,3.20,2.64,117.42,"-1,044.18",25.66,0.22,74.34,7.37,369.88,34.52,61.68,9.02,76.22,67.79,30.77,411.12,20.10,18.26,13.34,8.75,21.52,5.52,65.20,5.77,3.31,0.74,62.44,486.29,1.38,261.57,0.08,0.06,0.57,0.22,35.85
601699,1,0.43,--,--,"1,603,032","471,241","116,183","7,447","-1,134","115,049","98,199","98,260","191,183","74,470","5,150,618","1,943,837","3,299,764","2,399,914","1,846,138",5.53,1.45,29.40,1.54,7.72,7.25,68.77,4.66,5.32,698.99,86.90,31.23,31.24,22.42,5.49,409.60,0.81,0.77,38.95,343.04,64.07,-1.18,35.93,10.42,177.46,178.28,134.32,22.47,40.48,173.26,158.66,144.38,20.25,-16.51,-35.91,6.84,12.95,11.98,30.04,10.37,1.72,0.33,34.72,"1,090.25",0.84,428.52,0.12,0.04,2.56,0.06,7.97
300397,1,0.77,10.79,-0.70,"22,301","10,528","5,077","1,230",892,"5,969","7,528","5,810","-8,398","47,302","150,361","132,881","20,847","19,455","129,514",9.71,5.01,47.21,6.71,36.07,22.77,52.32,33.76,5.81,93.19,8.63,7.44,47.68,21.41,35.54,176.40,6.83,6.01,315.73,-502.09,13.86,--,86.14,--,"2,148.31",16.10,--,--,62.26,13.50,15.02,--,4.01,-26.50,-48.59,124.50,102.79,0.66,549.28,0.86,3.55,0.20,416.62,"1,811.78",0.23,"1,568.63",-0.38,-0.06,-1.12,-0.40,-43.16
300496,1,1.50,4.53,0.94,"45,221","24,274","9,939",9,"2,156","12,095","11,266","10,123","7,040","1,327","42,085","34,570","8,077","8,077","34,007",38.72,26.77,53.68,31.35,34.34,21.98,45.86,24.91,33.13,165.29,36.45,29.46,54.14,31.56,17.89,200.71,4.28,4.22,248.47,"4,022.29",19.19,--,80.81,--,932.60,23.75,--,--,76.33,22.10,23.75,--,8.66,34.48,16.53,33.59,41.25,4.97,72.50,65.91,13.23,1.26,5.46,286.12,1.52,237.29,0.16,0.17,0.62,0.87,87.16
002723,1,0.45,--,--,"58,318","9,818","4,358",-47,383,"4,741","4,087","3,747","6,868","1,977","80,629","28,950","18,607","17,641","62,022",6.93,5.07,16.84,5.81,8.81,7.47,82.72,7.01,6.59,117.50,17.68,13.60,17.28,9.16,7.08,207.08,1.64,1.07,36.89,"2,175.99",23.08,--,76.92,--,190.96,30.00,--,--,82.52,83.32,28.44,--,40.28,3.53,0.98,77.04,34.13,6.13,58.76,4.87,1.96,0.83,73.99,434.42,2.20,163.55,0.12,0.09,1.68,0.37,38.93
600483,1,0.73,--,--,"580,932","156,711","100,229",--,"1,431","101,660","79,540","79,290","195,895","31,500","1,435,419","307,320","823,324","148,497","579,173",17.45,5.57,26.98,10.33,21.17,17.25,72.41,13.77,13.73,289.95,59.61,25.42,27.59,9.63,1.41,154.15,2.07,1.83,83.64,336.38,57.36,4.20,42.64,46.43,64.20,134.51,88.23,52.13,76.99,184.30,133.14,173.02,66.42,392.44,"3,316.49",696.33,"1,165.07",13.83,26.03,15.01,1.18,0.75,23.99,479.94,3.08,116.88,0.34,0.14,2.45,0.24,131.92
002697,1,0.13,--,--,"548,618","144,194","20,183","3,718","1,405","21,588","17,922","13,567","19,570","-51,727","364,195","201,187","160,632","160,632","203,564",9.05,4.91,26.28,5.32,4.06,3.68,72.87,3.26,8.80,33.76,22.56,12.61,27.13,23.28,23.73,667.93,1.25,0.73,52.84,"5,992.06",44.11,--,55.89,--,208.16,78.91,--,--,77.73,80.08,78.91,--,26.85,15.15,5.13,6.56,17.92,535.74,0.67,5.41,6.66,1.63,66.60,220.83,2.54,141.63,0.04,0.05,1.09,0.12,12.18
002669,1,0.35,--,--,"52,719","17,082","8,322",--,-14,"8,309","6,991","7,014","5,468","-1,621","77,560","51,358","15,341","15,155","62,219",11.80,9.01,32.40,9.79,18.90,15.79,67.23,13.26,11.24,56.68,18.22,14.62,32.77,15.78,-0.17,205.59,3.39,2.96,118.55,"4,242.66",19.78,--,80.22,--,343.30,24.66,--,--,80.66,42.11,24.36,--,23.37,64.17,73.74,10.26,18.74,3.40,105.85,6.37,4.02,0.74,56.49,487.87,1.08,334.01,0.10,0.07,0.78,0.36,36.08
002686,1,0.30,--,--,"69,022","24,081","10,826",--,200,"11,026","8,243","8,083","11,140","-11,942","116,604","63,243","32,021","30,037","78,409",10.95,7.81,34.89,8.61,19.06,15.68,64.37,13.20,10.51,69.51,22.35,16.21,35.63,18.69,1.82,218.41,2.11,1.65,65.85,"2,992.32",27.46,0.05,72.54,1.33,440.82,37.86,61.95,1.80,66.20,63.09,37.34,337.14,16.46,4.14,-0.22,12.18,22.75,4.02,89.58,3.59,4.24,0.65,100.24,551.81,1.11,325.14,0.16,0.10,1.22,0.35,37.09
300273,1,0.39,2.12,-0.61,"92,984","57,583","24,832",0,"2,171","27,003","22,309","21,033","-35,154","-24,280","239,521","128,236","115,529","83,317","121,381",19.92,9.42,61.93,11.39,41.05,26.71,36.74,24.26,18.38,46.43,21.42,11.09,63.26,32.67,8.04,213.24,1.54,1.44,67.95,"1,431.09",48.23,0.13,51.77,2.52,"2,665.85",93.17,85.58,4.65,53.74,89.75,72.07,265.81,1.94,25.72,28.02,16.97,52.80,1.99,180.61,4.30,20.43,0.47,83.81,767.10,0.75,478.79,-0.38,-0.15,-1.56,-0.30,-42.19
600077,1,0.06,--,--,"347,349","38,452","12,498","-1,607",-0,"12,497","7,754","6,364","210,819","-64,110","1,376,799","1,331,788","983,390","688,320","378,241",2.06,0.60,11.07,0.60,3.76,3.60,81.92,2.37,2.05,9.82,3.34,0.96,18.08,6.87,-12.87,307.69,1.93,0.38,13.70,364.29,71.43,0.46,28.57,21.43,"7,256.64",249.97,6.54,42.86,52.32,11.44,249.97,139.96,0.39,49.52,50.61,1.28,0.61,129.02,2.79,0.26,60.88,0.25,"1,378.78","1,422.92",0.26,"1,376.67",0.61,0.15,25.66,0.21,30.63
002617,1,-0.22,--,--,"264,829","17,714","-3,479","-1,461",288,"-3,191","-3,914","-4,392","23,141","-8,025","221,693","132,218","135,198","99,423","84,771",-4.49,-1.89,6.69,-1.91,-1.20,-1.31,93.25,-1.59,-4.62,95.37,19.85,7.74,6.75,7.18,36.77,-555.17,1.33,1.10,32.45,66.46,60.98,--,39.02,--,178.11,156.31,--,--,69.45,103.45,114.95,--,21.91,-2.98,-208.60,-5.57,1.24,5.08,70.92,8.58,5.32,1.20,41.96,299.53,1.96,183.61,0.09,0.10,--,0.17,23.27
600917,1,0.25,--,--,"572,264","78,457","39,252",484,"3,725","42,977","35,958","28,548","85,190","9,355","722,022","280,092","365,620","170,341","329,384",12.51,4.93,13.71,5.27,8.08,6.86,85.37,6.22,10.92,127.86,55.82,27.55,14.63,6.70,9.79,182.56,1.64,1.58,128.49,-541.12,50.64,0.18,49.36,2.77,164.08,102.59,117.42,5.31,57.07,124.00,53.40,366.06,30.08,-3.57,15.59,19.80,15.08,32.11,11.21,42.56,2.57,0.85,8.46,424.48,2.10,171.13,0.15,0.12,2.40,0.23,50.01
002633,-1,-0.25,--,--,"26,790","4,971","-4,043",--,313,"-3,730","-3,800","-2,549","4,011","6,793","93,822","56,449","42,383","40,176","51,438",-7.22,-4.02,18.55,-4.09,-12.16,-15.09,80.51,-14.07,-7.39,103.84,30.28,16.60,19.49,33.07,-8.40,-133.25,1.41,1.10,48.23,-118.50,45.17,--,54.83,--,194.17,82.40,--,--,57.80,72.65,78.10,--,28.24,7.16,--,-7.42,3.94,1.43,252.12,1.70,0.95,0.29,211.93,"1,236.69",0.50,721.59,0.15,0.04,--,0.09,9.98
600693,1,0.43,--,--,"174,634","34,891","21,206","19,248","-3,016","18,190","14,624","1,412","-38,066","48,976","411,971","341,340","283,372","182,849","121,284",12.83,3.20,19.98,3.56,10.51,12.14,77.96,7.56,12.06,109.35,29.19,9.11,22.04,19.09,89.24,191.81,1.87,0.52,39.57,"2,137.99",68.78,0.59,31.22,22.72,410.71,220.35,31.79,42.12,56.27,54.92,214.97,148.97,7.60,-14.26,178.19,11.44,24.70,613.97,0.59,0.80,5.19,0.47,450.56,765.14,0.59,608.52,-0.22,-0.09,-2.88,-0.13,-20.82
002335,1,0.58,--,--,"148,566","46,956","13,388",167,"2,108","15,497","12,696","11,293","5,265","5,648","211,430","143,569","87,851","80,633","113,095",11.82,6.49,31.61,7.51,11.56,9.01,67.80,9.24,11.23,105.41,19.12,11.18,32.20,21.81,14.68,303.01,1.78,1.51,43.76,"6,093.06",41.55,0.01,58.45,0.37,425.72,71.09,54.57,0.63,74.56,54.91,65.88,242.61,13.73,46.57,20.44,18.15,37.03,2.63,137.08,5.44,5.86,0.81,66.12,443.13,1.18,303.87,0.04,0.02,0.38,0.06,6.53
002412,1,0.40,--,--,"73,742","51,491","13,718",--,245,"13,963","11,759","11,572","9,228","-4,698","136,777","64,619","21,459","19,400","111,953",10.77,8.74,69.83,8.89,23.35,18.60,28.75,16.21,10.50,67.63,17.36,14.64,71.25,50.93,1.75,368.76,3.33,2.83,147.70,"-12,656.03",15.69,--,84.31,--,265.19,18.61,--,--,84.36,62.57,16.82,--,31.79,26.07,7.57,4.11,3.45,7.14,50.40,2.29,1.81,0.55,156.93,656.57,1.16,311.02,0.13,0.07,0.77,0.43,47.57
002776,1,1.32,--,--,"60,667","17,978","13,490",--,600,"14,090","12,133","11,623","18,690","45,345","125,922","107,782","26,565","25,961","99,357",17.96,9.64,29.63,13.16,29.89,22.24,69.84,20.00,12.21,136.97,14.46,11.41,30.16,7.34,4.26,127.60,4.15,3.86,284.96,"1,178.14",21.10,--,78.90,--,816.93,26.74,--,--,84.50,18.26,26.13,--,9.66,10.32,12.99,145.39,115.12,8.86,40.64,5.66,5.19,0.66,63.62,547.28,0.80,448.43,0.31,0.15,1.54,0.70,71.99
002540,1,0.53,--,--,"224,207","45,536","24,718","5,062",430,"25,148","22,184","16,851","8,828","1,925","273,633","183,360","27,091","24,809","246,542",9.29,8.05,20.31,8.44,12.34,11.02,79.35,9.82,9.00,131.54,22.20,20.00,20.65,11.23,21.84,181.07,7.39,6.54,87.75,"6,109.74",9.90,--,90.10,--,439.89,10.99,--,--,63.15,36.62,10.06,--,20.48,9.39,51.26,5.92,10.22,5.33,67.52,8.58,4.05,0.86,41.94,418.99,1.25,287.59,0.04,0.03,0.40,0.33,35.58
600763,1,0.60,--,--,"76,236","30,096","23,515","5,641",455,"23,970","19,248","12,574","18,400","4,489","132,997","36,001","43,640","14,090","82,208",26.52,14.56,39.48,18.24,41.10,30.85,60.20,25.40,23.41,89.75,32.21,21.64,39.80,15.99,25.43,125.56,2.56,2.41,212.96,"-13,035.44",32.81,1.35,67.19,22.18,112.44,48.84,81.61,24.82,89.41,108.55,48.78,300.87,59.75,30.59,70.11,30.18,67.68,79.27,4.54,21.55,1.68,0.72,16.71,501.32,2.26,159.63,0.24,0.14,0.95,0.42,130.59
000401,1,0.03,--,--,"1,566,474","320,163","-83,870","1,591","65,955","-17,916","3,471","-15,985","225,347","23,615","4,405,427","1,040,816","3,061,716","1,977,041","1,179,355",0.29,-0.63,20.44,-0.64,-1.08,-5.35,79.04,-1.77,0.29,717.90,71.99,21.96,20.96,26.18,-377.02,"-1,787.06",0.53,0.42,15.49,88.21,69.50,-0.31,30.50,6.63,52.59,227.86,205.71,17.85,71.97,250.40,168.86,181.62,58.00,-0.29,-239.63,-3.33,2.23,11.00,32.73,6.00,0.61,0.36,60.03,"1,001.39",1.55,232.44,0.14,0.05,--,0.07,11.40
002336,1,-1.15,--,--,"1,211,738","252,897","-24,716","3,105","-12,099","-36,815","-46,052","-37,493","2,896","-58,624","690,874","462,766","418,769","411,566","272,105",-15.60,-6.67,20.87,-6.42,-2.98,-2.04,78.45,-3.80,-16.92,34.61,5.09,2.00,21.55,22.89,24.43,-686.94,1.12,0.74,33.90,"-8,915.89",60.61,--,39.39,--,291.43,153.90,--,--,60.92,83.83,151.25,--,13.51,-4.71,"-2,045.64",-17.42,-7.14,"1,486.50",0.24,5.95,15.78,1.69,60.47,213.14,2.37,151.76,0.00,0.00,--,0.01,0.70
