code,label,基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%)
002022,1,0.59,--,--,"121,789","54,690","33,369",309,"1,937","35,306","29,197","27,598","24,964","-9,324","142,906","91,536","16,139","15,048","125,674",24.74,21.00,44.91,21.44,39.91,27.40,54.41,24.64,23.23,93.87,36.45,32.34,45.59,17.54,6.36,154.90,6.08,4.22,253.15,"-4,393.28",11.29,--,88.71,--,495.52,12.73,--,--,61.23,40.52,11.87,--,17.90,9.28,-0.44,4.93,4.30,7.63,47.20,2.66,5.11,0.87,135.55,413.75,1.33,270.72,0.21,0.17,0.83,1.55,165.90
300464,1,0.65,4.17,0.91,"39,159","9,537","4,320",--,394,"4,714","4,049","3,714","5,617",112,"51,586","25,213","25,712","22,119","25,874",15.87,7.85,24.35,8.60,13.57,11.03,74.89,10.34,15.65,150.92,36.16,18.14,25.11,13.10,8.36,202.30,1.14,0.81,26.70,"1,044.22",49.84,1.13,50.16,6.78,121.49,99.37,89.78,11.92,80.05,101.93,99.01,185.88,41.29,-0.94,-5.49,8.60,21.22,4.40,81.82,4.86,2.28,0.83,74.08,432.74,1.73,208.67,0.14,0.11,1.39,0.22,25.39
600700,-1,-0.21,-4.05,-0.00,351,159,"-5,981",23,2,"-5,979","-5,982","-5,981",-25,-4,"28,767","21,957","146,473","132,656","-117,712",0.00,-20.78,45.26,-20.89,-94.01,"-1,705.66",54.74,"-1,705.23",--,-20.55,--,-20.78,45.26,"1,759.15",-0.41,-2.65,0.17,0.15,0.26,-5.36,509.18,--,-409.18,--,--,-124.44,--,--,--,-5.79,-112.70,--,--,-8.51,--,--,0.97,0.16,"2,312.14",0.14,--,0.01,"2,652.91","29,508.20",0.02,"22,222.22",-0.07,-0.00,--,-0.00,-0.02
002750,1,1.27,--,--,"18,740","12,642","7,337",5,230,"7,568","6,357","6,157","7,016",539,"43,559","13,650","15,002","12,508","28,557",22.67,14.59,67.46,14.48,66.29,39.15,30.83,33.92,22.26,--,37.12,24.33,69.17,28.38,3.11,167.05,1.09,0.96,73.89,"6,964.93",34.44,--,65.56,--,102.33,52.53,--,--,86.80,104.73,43.80,--,64.07,4.78,-15.30,-5.44,-1.58,122.49,2.94,4.09,0.65,0.43,87.97,843.49,1.45,248.76,0.37,0.16,1.10,0.47,56.10
002001,1,0.74,--,--,"416,421","162,462","100,562",-49,"1,087","101,649","80,804","78,259","107,974","-3,252","912,376","527,491","210,860","194,989","701,517",11.95,8.86,39.01,9.14,32.28,24.15,60.02,19.40,11.52,216.19,33.56,25.80,39.98,14.64,1.02,159.83,2.71,2.07,140.83,"1,790.30",23.11,0.00,76.89,0.01,258.81,30.06,54.86,0.02,63.68,54.86,27.81,446.78,29.71,-1.73,-8.40,6.77,6.64,4.93,73.09,2.10,1.62,0.47,171.70,764.17,0.81,446.82,0.26,0.12,1.34,0.51,55.37
002541,1,0.66,--,--,"319,263","54,430","7,008","1,028","14,090","21,098","17,674","5,917","-3,171","-17,134","708,303","547,167","456,156","451,208","252,142",7.25,2.50,17.05,2.44,6.88,2.20,81.83,5.54,7.01,241.42,25.66,9.13,18.17,13.11,71.66,257.99,1.21,0.64,16.86,253.98,64.40,--,35.60,--,205.98,180.91,--,--,72.25,63.91,178.95,--,17.28,-24.44,28.10,6.68,-4.21,1.92,187.47,0.99,2.58,0.44,362.72,816.14,0.57,627.07,-0.01,-0.00,-0.18,-0.01,-0.70
002340,1,0.25,--,--,"390,886","71,831","16,236",736,"12,477","28,713","21,105","11,783","2,264","36,445","1,158,682","502,004","684,950","441,143","428,914",6.10,2.23,18.38,2.68,7.69,4.15,81.37,6.62,4.92,108.09,21.08,8.62,18.63,13.84,46.02,250.17,1.14,0.63,26.18,224.55,59.11,2.25,40.89,11.81,186.94,144.59,107.54,22.42,77.41,138.62,122.02,182.44,21.87,12.13,53.78,78.60,49.77,5.97,60.28,1.65,1.64,0.40,218.66,889.77,0.94,384.20,0.01,0.00,0.09,0.00,0.51
002072,1,0.03,--,--,"70,967",749,"-4,390",731,"5,300",910,459,"-7,051","-3,549",-141,"111,629","78,826","92,889","92,889","18,740",2.48,0.41,1.06,0.42,1.17,-6.19,98.69,0.65,2.45,112.91,106.05,17.80,1.31,10.37,662.59,82.28,0.85,0.64,12.30,120.35,83.21,--,16.79,--,63.32,495.68,--,--,60.39,175.04,495.68,--,26.51,-18.44,--,2.51,5.14,4.71,76.39,3.60,2.11,0.65,100.10,552.40,1.12,321.06,-0.05,-0.03,-7.73,-0.04,-3.82
002660,1,-0.19,--,--,"62,822","8,852","-6,310","1,213",442,"-5,868","-4,786","-5,140","-2,291","-3,626","116,185","68,833","44,698","43,897","65,340",-7.50,-4.26,14.09,-4.51,-8.53,-10.04,85.30,-7.88,-7.32,-6.32,-2.23,-1.37,14.70,23.64,-28.20,-150.86,1.57,1.38,53.73,"-4,142.80",38.47,--,61.53,--,191.17,62.53,--,--,91.76,66.24,61.41,--,32.19,3.54,-309.83,3.26,12.40,2.18,165.00,6.06,3.11,0.57,59.37,629.04,0.84,427.10,-0.04,-0.02,--,-0.05,-5.22
601866,1,0.09,--,--,"3,623,348","132,521","109,272","107,769","54,928","164,200","106,128","5,282","287,426","-24,692","5,354,115","1,333,307","2,866,367","1,323,107","2,479,244",4.37,2.03,3.66,2.08,4.53,3.02,96.26,2.99,4.28,96.17,45.16,20.98,3.74,3.62,99.08,80.71,1.01,0.92,70.72,515.26,53.54,131.99,46.46,25.15,70.06,115.22,104.87,35.11,77.77,161.62,107.30,200.50,66.32,5.51,--,2.72,5.36,16.31,22.08,25.44,1.08,0.69,14.15,518.43,2.64,136.42,0.08,0.05,2.65,0.10,21.72
